代码	名称	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股(亿)	流通市值	AB股总市值	强弱度%%	
601398	工商银行	银行	北京	2.70	5.66	890396	1175517	  0.76	12434	16948	--  	       2696.12	      15313.97亿	      15313.97亿	  2.32	
601857	中国石油	石油开采	北京	0.97	8.16	196174	176716	  1.11	1266	1693	--  	       1619.22	      13229.03亿	      14952.81亿	 -0.56	
601288	农业银行	银行	北京	2.14	3.78	1208110	1402050	  0.86	69835	45445	--  	       2940.55	      11144.70亿	      11144.70亿	  1.50	
601988	中国银行	银行	北京	3.28	4.03	1632797	2270293	  0.72	114907	32509	--  	       2107.66	       8536.00亿	       8536.00亿	  2.44	
600519	贵州茅台	白酒	贵州	1.33	481.55	11090	12817	  0.87	26	13	--  	         12.56	       6051.48亿	       6051.48亿	  0.48	
601628	中国人寿	保险	北京	1.98	28.37	108293	95922	  1.13	21	28	--  	        208.24	       5913.88亿	       5913.88亿	 -1.02	
600028	中国石化	石油加工	北京	1.45	6.15	774654	668761	  1.16	28967	7778	--  	        955.58	       5867.25亿	       5867.25亿	 -1.12	
601318	中国平安	保险	深圳	1.71	54.25	363256	322421	  1.13	259	126	--  	        108.33	       5856.14亿	       5856.14亿	 -1.27	
600036	招商银行	银行	深圳	4.06	26.72	265137	319499	  0.83	202	299	--  	        206.29	       5479.05亿	       5479.05亿	  1.77	
600000	浦发银行	银行	上海	1.56	13.47	258929	331987	  0.78	4438	3743	--  	        281.04	       3771.53亿	       3771.53亿	  0.09	
601166	兴业银行	银行	福建	1.16	18.17	401560	454136	  0.88	556	803	--  	        190.52	       3448.47亿	       3760.13亿	  0.39	
600104	上汽集团	汽车整车	上海	0.90	30.05	120627	90507	  1.33	747	20	--  	        110.26	       3313.18亿	       3510.88亿	 -0.17	
601088	中国神华	煤炭开采	北京	0.00	19.32	0	0	--  	0	0	--  	        164.91	       3186.07亿	       3186.07亿	  0.17	
601668	中国建筑	建筑施工	北京	3.24	10.31	1357791	1119144	  1.21	10762	2335	--  	        297.32	       3035.61亿	       3063.00亿	 -2.50	
601328	交通银行	银行	上海	2.48	6.54	539030	726746	  0.74	2778	4865	--  	        392.51	       2578.78亿	       2578.78亿	  2.03	
600016	民生银行	银行	北京	1.15	8.73	578674	766064	  0.76	8034	11019	--  	        295.52	       2568.05亿	       2568.05亿	  0.17	
000333	美的集团	家用电器	广东	1.04	40.87	138680	106304	  1.30	453	322	--  	         62.78	       2562.77亿	       2649.06亿	 -0.44	
000651	格力电器	家用电器	广东	1.73	39.12	254392	217801	  1.17	686	297	--  	         59.71	       2329.73亿	       2347.34亿	 -0.15	
601766	中国中车	运输设备	北京	1.09	10.13	226745	205576	  1.10	6079	770	--  	        229.18	       2316.98亿	       2459.54亿	  0.17	
000002	万 科Ａ	全国地产	深圳	2.95	23.78	166818	173656	  0.96	151	50	--  	         97.09	       2286.49亿	       2290.05亿	  1.01	
601601	XD中国太	保险	上海	3.73	35.31	96706	140082	  0.69	34	58	--  	         62.87	       2242.47亿	       2242.47亿	  1.82	
002415	海康威视	电器仪表	浙江	2.02	29.69	139474	117722	  1.18	5	52	--  	         72.58	       2151.17亿	       2735.44亿	  0.25	
601998	中信银行	银行	北京	1.78	6.76	397447	411316	  0.97	4319	2939	--  	        319.05	       2147.22亿	       2291.74亿	  0.02	
000858	五 粮 液	白酒	四川	2.30	55.93	102904	72967	  1.41	10	8	--  	         37.96	       2119.93亿	       2120.05亿	 -0.83	
000001	平安银行	银行	深圳	3.44	11.19	940472	1068822	  0.88	165	988	--  	        169.18	       1882.97亿	       1911.07亿	  1.27	
601800	中国交建	建筑施工	北京	5.08	16.07	247193	222662	  1.11	193	1460	--  	        117.47	       1854.89亿	       1854.89亿	 -4.43	
600900	长江电力	水力发电	北京	1.31	15.45	66305	67722	  0.98	533	1477	--  	        115.06	       1781.12亿	       3405.60亿	  1.41	
600030	中信证券	证券	深圳	2.11	17.69	775922	873417	  0.89	1467	630	--  	         98.15	       1735.23亿	       1739.46亿	  0.85	
数据来源:通达信
